model:HSVNet step: 8050, loss: 0.088171, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:57.17
model:HSVNet step: 8100, loss: 0.175144, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:57.46
model:HSVNet step: 8150, loss: 0.142575, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:57.75
model:HSVNet step: 8200, loss: 0.166918, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:58.03
model:HSVNet step: 8250, loss: 0.105737, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:58.32
model:HSVNet step: 8300, loss: 0.087350, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:58.61
model:HSVNet step: 8350, loss: 0.139722, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:58.90
model:HSVNet step: 8400, loss: 0.120429, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:59.18
model:HSVNet step: 8450, loss: 0.099715, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:59.47
model:HSVNet step: 8500, loss: 0.193884, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:59.76
model:HSVNet step: 8550, loss: 0.095102, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:60.04
model:HSVNet step: 8600, loss: 0.097080, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:60.33
model:HSVNet step: 8650, loss: 0.132766, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:60.61
model:HSVNet step: 8700, loss: 0.212326, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:60.90
model:HSVNet step: 8750, loss: 0.094752, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:61.19
model:HSVNet step: 8800, loss: 0.081941, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:61.48
model:HSVNet step: 8850, loss: 0.124970, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:61.77
model:HSVNet step: 8900, loss: 0.238157, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:62.06
model:HSVNet step: 8950, loss: 0.115019, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:62.34
model:HSVNet step: 9000, loss: 0.102358, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:62.63
model:HSVNet step: 9050, loss: 0.105819, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:64.99
model:HSVNet step: 9100, loss: 0.183374, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:65.28
model:HSVNet step: 9150, loss: 0.161805, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:65.57
model:HSVNet step: 9200, loss: 0.121763, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:65.86
model:HSVNet step: 9250, loss: 0.153071, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:66.15
model:HSVNet step: 9300, loss: 0.147055, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:66.44
model:HSVNet step: 9350, loss: 0.103063, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:66.72
model:HSVNet step: 9400, loss: 0.130620, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:67.01
model:HSVNet step: 9450, loss: 0.145747, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:67.30
model:HSVNet step: 9500, loss: 0.108615, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:67.58
model:HSVNet step: 9550, loss: 0.134947, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:67.87
model:HSVNet step: 9600, loss: 0.115351, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:68.16
model:HSVNet step: 9650, loss: 0.164091, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:68.44
model:HSVNet step: 9700, loss: 0.160651, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:68.73
model:HSVNet step: 9750, loss: 0.103867, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:69.02
