model:HSVNet step: 50, loss: 0.088175, psnr: 0, ssim: 0, minute:0.26
model:HSVNet step: 4100, loss: 0.098447, psnr: 18.66669584003534, ssim: 0.36006584465503694, minute:10.96
model:HSVNet step: 4150, loss: 0.085506, psnr: 18.66669584003534, ssim: 0.36006584465503694, minute:11.08
model:HSVNet step: 4200, loss: 0.116315, psnr: 18.66669584003534, ssim: 0.36006584465503694, minute:11.21
model:HSVNet step: 4250, loss: 0.101757, psnr: 18.66669584003534, ssim: 0.36006584465503694, minute:11.35
model:HSVNet step: 4300, loss: 0.118777, psnr: 18.66669584003534, ssim: 0.36006584465503694, minute:11.48
model:HSVNet step: 4350, loss: 0.084019, psnr: 18.66669584003534, ssim: 0.36006584465503694, minute:11.61
model:HSVNet step: 4400, loss: 0.110676, psnr: 18.66669584003534, ssim: 0.36006584465503694, minute:11.74
model:HSVNet step: 4450, loss: 0.066937, psnr: 18.66669584003534, ssim: 0.36006584465503694, minute:11.87
model:HSVNet step: 4500, loss: 0.097136, psnr: 18.66669584003534, ssim: 0.36006584465503694, minute:12.00
model:HSVNet step: 4550, loss: 0.077724, psnr: 18.66669584003534, ssim: 0.36006584465503694, minute:12.13
model:HSVNet step: 4600, loss: 0.114335, psnr: 18.66669584003534, ssim: 0.36006584465503694, minute:12.26
model:HSVNet step: 4650, loss: 0.082965, psnr: 18.66669584003534, ssim: 0.36006584465503694, minute:12.40
model:HSVNet step: 4700, loss: 0.090646, psnr: 18.66669584003534, ssim: 0.36006584465503694, minute:12.53
model:HSVNet step: 4750, loss: 0.095257, psnr: 18.66669584003534, ssim: 0.36006584465503694, minute:12.65
model:HSVNet step: 4800, loss: 0.071017, psnr: 18.66669584003534, ssim: 0.36006584465503694, minute:12.78
model:HSVNet step: 4850, loss: 0.083539, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:12.93
model:HSVNet step: 4900, loss: 0.090389, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:13.05
model:HSVNet step: 4950, loss: 0.098498, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:13.18
model:HSVNet step: 5000, loss: 0.049885, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:13.31
model:HSVNet step: 5050, loss: 0.075344, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:13.45
model:HSVNet step: 5100, loss: 0.101385, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:13.57
model:HSVNet step: 5150, loss: 0.101128, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:13.70
model:HSVNet step: 5200, loss: 0.106277, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:13.83
model:HSVNet step: 5250, loss: 0.109611, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:13.97
model:HSVNet step: 5300, loss: 0.080345, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:14.10
model:HSVNet step: 5350, loss: 0.062418, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:14.23
model:HSVNet step: 5400, loss: 0.095127, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:14.35
model:HSVNet step: 5450, loss: 0.082741, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:14.49
model:HSVNet step: 5500, loss: 0.088604, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:14.62
model:HSVNet step: 5550, loss: 0.098473, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:14.75
model:HSVNet step: 5600, loss: 0.088568, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:14.88
model:HSVNet step: 5650, loss: 0.137408, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:15.01
model:HSVNet step: 5700, loss: 0.054228, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:15.14
model:HSVNet step: 5750, loss: 0.153185, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:15.27
model:HSVNet step: 5800, loss: 0.061923, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:15.40
model:HSVNet step: 5850, loss: 0.103346, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:15.54
model:HSVNet step: 5900, loss: 0.078581, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:15.66
model:HSVNet step: 5950, loss: 0.079291, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:15.79
model:HSVNet step: 6000, loss: 0.117423, psnr: 18.783094611884206, ssim: 0.360824716091156, minute:15.92
model:HSVNet step: 6050, loss: 0.111022, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:16.06
model:HSVNet step: 6100, loss: 0.090580, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:16.19
model:HSVNet step: 6150, loss: 0.099098, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:16.32
model:HSVNet step: 6200, loss: 0.085817, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:16.45
model:HSVNet step: 6250, loss: 0.087473, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:16.59
model:HSVNet step: 6300, loss: 0.114916, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:16.71
model:HSVNet step: 6350, loss: 0.072832, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:16.84
model:HSVNet step: 6400, loss: 0.064912, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:16.97
model:HSVNet step: 6450, loss: 0.108432, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:17.11
model:HSVNet step: 6500, loss: 0.077874, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:17.24
model:HSVNet step: 6550, loss: 0.062901, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:17.37
model:HSVNet step: 6600, loss: 0.078066, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:17.49
model:HSVNet step: 6650, loss: 0.060877, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:17.63
model:HSVNet step: 6700, loss: 0.062540, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:17.76
model:HSVNet step: 6750, loss: 0.079203, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:17.89
model:HSVNet step: 6800, loss: 0.096854, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:18.02
model:HSVNet step: 6850, loss: 0.086154, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:18.15
model:HSVNet step: 6900, loss: 0.146551, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:18.28
model:HSVNet step: 6950, loss: 0.052566, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:18.41
model:HSVNet step: 7000, loss: 0.093729, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:18.54
model:HSVNet step: 7050, loss: 0.057864, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:18.67
model:HSVNet step: 7100, loss: 0.098347, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:18.80
model:HSVNet step: 7150, loss: 0.072707, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:18.93
model:HSVNet step: 7200, loss: 0.084503, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:19.06
model:HSVNet step: 7250, loss: 0.124058, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:19.20
model:HSVNet step: 7300, loss: 0.089545, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:19.33
model:HSVNet step: 7350, loss: 0.078807, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:19.45
model:HSVNet step: 7400, loss: 0.087975, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:19.58
model:HSVNet step: 7450, loss: 0.085696, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:19.72
model:HSVNet step: 7500, loss: 0.084820, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:19.85
model:HSVNet step: 7550, loss: 0.067860, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:19.93
model:HSVNet step: 7600, loss: 0.080242, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:20.00
model:HSVNet step: 7650, loss: 0.087870, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:20.07
model:HSVNet step: 7700, loss: 0.075927, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:20.14
model:HSVNet step: 7750, loss: 0.071760, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:20.21
model:HSVNet step: 7800, loss: 0.051707, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:20.28
model:HSVNet step: 7850, loss: 0.176922, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:20.35
model:HSVNet step: 7900, loss: 0.142639, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:20.42
model:HSVNet step: 7950, loss: 0.080249, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:20.49
